 1728  pads
 1728  groups
   24  rows
    1  max number of pads in a group
   72  max number of pads   in row
   72  max number of groups in row
***************************************************
*  Layout for LP-TPC                               
                       centre [mm]       size [mm] 
  Pad  Group  Row      x        y        x       y 
    1     1   13    97.1843    0.4078  3.0873  7.0417
    2     2   13    94.1031    0.6022  3.0873  7.0417
    3     3   13   103.3455    0.0001  3.0873  7.0417
    4     4   13   100.2651    0.2071  3.0873  7.0417
    5     5   13   109.5050   -0.4327  3.0873  7.0417
    6     6   13   106.4255   -0.2132  3.0873  7.0417
    7     7   14    97.6350    7.4350  3.1016  7.0417
    8     8   14    94.5395    7.6304  3.1016  7.0417
    9     9   14   103.8247    7.0254  3.1016  7.0417
   10    10   14   100.7301    7.2334  3.1016  7.0417
   11    11   14   110.0128    6.5907  3.1016  7.0417
   12    12   14   106.9190    6.8112  3.1016  7.0417
   13    13   15    98.0857   14.4622  3.1160  7.0417
   14    14   15    94.9759   14.6585  3.1160  7.0417
   15    15   15   104.3040   14.0508  3.1160  7.0417
   16    16   15   101.1950   14.2597  3.1160  7.0417
   17    17   15   110.5206   13.6140  3.1160  7.0417
   18    18   15   107.4125   13.8355  3.1160  7.0417
   19    19   16    98.5363   21.4895  3.1303  7.0417
   20    20   16    95.4123   21.6866  3.1303  7.0417
   21    21   16   104.7832   21.0761  3.1303  7.0417
   22    22   16   101.6600   21.2860  3.1303  7.0417
   23    23   16   111.0284   20.6373  3.1303  7.0417
   24    24   16   107.9060   20.8599  3.1303  7.0417
   25    25   17    98.9870   28.5167  3.1446  7.0417
   26    26   17    95.8486   28.7148  3.1446  7.0417
   27    27   17   105.2624   28.1014  3.1446  7.0417
   28    28   17   102.1249   28.3123  3.1446  7.0417
   29    29   17   111.5362   27.6607  3.1446  7.0417
   30    30   17   108.3995   27.8842  3.1446  7.0417
   31    31   18    99.4376   35.5439  3.1589  7.0417
   32    32   18    96.2850   35.7429  3.1589  7.0417
   33    33   18   105.7417   35.1268  3.1589  7.0417
   34    34   18   102.5899   35.3386  3.1589  7.0417
   35    35   18   112.0440   34.6840  3.1589  7.0417
   36    36   18   108.8930   34.9086  3.1589  7.0417
   37    37   19   109.3866   41.9329  3.1732  7.0417
   38    38   19   112.5517   41.7073  3.1732  7.0417
   39    39   19   103.0548   42.3649  3.1732  7.0417
   40    40   19   106.2209   42.1521  3.1732  7.0417
   41    41   19    96.7214   42.7710  3.1732  7.0417
   42    42   19    99.8883   42.5712  3.1732  7.0417
   43    43   20   109.8801   48.9573  3.1875  7.0417
   44    44   20   113.0595   48.7307  3.1875  7.0417
   45    45   20   103.5198   49.3912  3.1875  7.0417
   46    46   20   106.7001   49.1775  3.1875  7.0417
   47    47   20    97.1578   49.7992  3.1875  7.0417
   48    48   20   100.3390   49.5984  3.1875  7.0417
   49    49   21   110.3736   55.9816  3.2019  7.0417
   50    50   21   113.5673   55.7540  3.2019  7.0417
   51    51   21   103.9847   56.4175  3.2019  7.0417
   52    52   21   107.1794   56.2028  3.2019  7.0417
   53    53   21    97.5941   56.8273  3.2019  7.0417
   54    54   21   100.7896   56.6256  3.2019  7.0417
   55    55   22   110.8671   63.0060  3.2162  7.0417
   56    56   22   114.0751   62.7773  3.2162  7.0417
   57    57   22   104.4497   63.4438  3.2162  7.0417
   58    58   22   107.6586   63.2281  3.2162  7.0417
   59    59   22    98.0305   63.8554  3.2162  7.0417
   60    60   22   101.2403   63.6529  3.2162  7.0417
   61    61   23   111.3606   70.0303  3.2305  7.0417
   62    62   23   114.5829   69.8007  3.2305  7.0417
   63    63   23   104.9146   70.4701  3.2305  7.0417
   64    64   23   108.1378   70.2535  3.2305  7.0417
   65    65   23    98.4669   70.8836  3.2305  7.0417
   66    66   23   101.6910   70.6801  3.2305  7.0417
   67    67   24   111.8541   77.0547  3.2448  7.0417
   68    68   24   115.0907   76.8240  3.2448  7.0417
   69    69   24   105.3796   77.4964  3.2448  7.0417
   70    70   24   108.6171   77.2788  3.2448  7.0417
   71    71   24    98.9033   77.9117  3.2448  7.0417
   72    72   24   102.1416   77.7073  3.2448  7.0417
   73    73   21    91.2019   57.2111  3.2019  7.0417
   74    74   21    94.3982   57.0225  3.2019  7.0417
   75    75   13    75.6082    1.6374  3.0873  7.0417
   76    76   13    78.6916    1.4805  3.0873  7.0417
   77    77   13    81.7746    1.3174  3.0873  7.0417
   78    78   13    84.8573    1.1480  3.0873  7.0417
   79    79   13    87.9396    0.9723  3.0873  7.0417
   80    80   13    91.0216    0.7904  3.0873  7.0417
   81    81   14    75.9588    8.6703  3.1016  7.0417
   82    82   14    79.0565    8.5127  3.1016  7.0417
   83    83   14    82.1538    8.3488  3.1016  7.0417
   84    84   14    85.2508    8.1787  3.1016  7.0417
   85    85   15    76.3095   15.7032  3.1160  7.0417
   86    86   14    88.3474    8.0022  3.1016  7.0417
   87    87   14    91.4436    7.8194  3.1016  7.0417
   88    88   15    79.4214   15.5449  3.1160  7.0417
   89    89   15    82.5330   15.3803  3.1160  7.0417
   90    90   15    85.6443   15.2093  3.1160  7.0417
   91    91   15    88.7552   15.0320  3.1160  7.0417
   92    92   16    76.6601   22.7362  3.1303  7.0417
   93    93   15    91.8657   14.8484  3.1160  7.0417
   94    94   16    79.7863   22.5771  3.1303  7.0417
   95    95   16    82.9122   22.4117  3.1303  7.0417
   96    96   16    86.0378   22.2400  3.1303  7.0417
   97    97   16    89.1630   22.0619  3.1303  7.0417
   98    98   16    92.2878   21.8774  3.1303  7.0417
   99    99   17    77.0107   29.7691  3.1446  7.0417
  100   100   17    80.1512   29.6093  3.1446  7.0417
  101   101   17    83.2914   29.4432  3.1446  7.0417
  102   102   17    86.4313   29.2707  3.1446  7.0417
  103   103   17    89.5708   29.0917  3.1446  7.0417
  104   104   17    92.7099   28.9064  3.1446  7.0417
  105   105   18    86.8248   36.3013  3.1589  7.0417
  106   106   18    83.6706   36.4746  3.1589  7.0417
  107   107   18    80.5161   36.6415  3.1589  7.0417
  108   108   18    77.3613   36.8020  3.1589  7.0417
  109   109   18    89.9786   36.1216  3.1589  7.0417
  110   110   18    93.1320   35.9354  3.1589  7.0417
  111   111   19    87.2183   43.3320  3.1732  7.0417
  112   112   19    84.0498   43.5061  3.1732  7.0417
  113   113   19    80.8810   43.6737  3.1732  7.0417
  114   114   19    77.7119   43.8350  3.1732  7.0417
  115   115   19    90.3863   43.1514  3.1732  7.0417
  116   116   19    93.5541   42.9645  3.1732  7.0417
  117   117   20    87.6118   50.3626  3.1875  7.0417
  118   118   20    84.4290   50.5375  3.1875  7.0417
  119   119   20    81.2459   50.7060  3.1875  7.0417
  120   120   20    78.0625   50.8679  3.1875  7.0417
  121   121   20    90.7941   50.1813  3.1875  7.0417
  122   122   20    93.9761   49.9935  3.1875  7.0417
  123   123   21    88.0053   57.3933  3.2019  7.0417
  124   124   21    84.8082   57.5690  3.2019  7.0417
  125   125   21    81.6108   57.7382  3.2019  7.0417
  126   126   21    78.4131   57.9008  3.2019  7.0417
  127   127   22    94.8203   64.0515  3.2162  7.0417
  128   128   22    91.6097   64.2410  3.2162  7.0417
  129   129   22    88.3988   64.4240  3.2162  7.0417
  130   130   22    85.1874   64.6004  3.2162  7.0417
  131   131   22    81.9757   64.7704  3.2162  7.0417
  132   132   22    78.7637   64.9338  3.2162  7.0417
  133   133   23    95.2424   71.0805  3.2305  7.0417
  134   134   23    92.0175   71.2708  3.2305  7.0417
  135   135   23    88.7923   71.4546  3.2305  7.0417
  136   136   23    85.5666   71.6319  3.2305  7.0417
  137   137   23    82.3407   71.8026  3.2305  7.0417
  138   138   23    79.1143   71.9667  3.2305  7.0417
  139   139   24    79.4649   78.9996  3.2448  7.0417
  140   140   24    82.7056   78.8348  3.2448  7.0417
  141   141   24    85.9458   78.6633  3.2448  7.0417
  142   142   24    89.1858   78.4853  3.2448  7.0417
  143   143   24    92.4253   78.3007  3.2448  7.0417
  144   144   24    95.6645   78.1095  3.2448  7.0417
  145   145    1    85.9565  -83.5576  2.9155  7.0417
  146   146    2    86.3786  -76.5286  2.9298  7.0417
  147   147    1    83.0461  -83.3858  2.9155  7.0417
  148   148    2    83.4539  -76.3560  2.9298  7.0417
  149   149    1    80.1353  -83.2200  2.9155  7.0417
  150   150    2    80.5288  -76.1893  2.9298  7.0417
  151   151    1    77.2241  -83.0600  2.9155  7.0417
  152   152    2    77.6033  -76.0285  2.9298  7.0417
  153   153    1    74.3127  -82.9059  2.9155  7.0417
  154   154    2    74.6776  -75.8737  2.9298  7.0417
  155   155    1    71.4009  -82.7578  2.9155  7.0417
  156   156    2    71.7515  -75.7249  2.9298  7.0417
  157   157    3    75.0425  -68.8415  2.9442  7.0417
  158   158    3    72.1021  -68.6920  2.9442  7.0417
  159   159    4    72.4527  -61.6590  2.9585  7.0417
  160   160    3    77.9825  -68.9971  2.9442  7.0417
  161   161    5    75.7723  -54.7771  2.9728  7.0417
  162   162    5    72.8034  -54.6261  2.9728  7.0417
  163   163    3    83.8617  -69.3261  2.9442  7.0417
  164   164    3    80.9223  -69.1586  2.9442  7.0417
  165   165    4    75.4074  -61.8093  2.9585  7.0417
  166   166    3    86.8007  -69.4996  2.9442  7.0417
  167   167    6    73.1540  -47.5932  2.9871  7.0417
  168   168    4    78.3618  -61.9656  2.9585  7.0417
  169   169    6    79.1202  -47.9027  2.9871  7.0417
  170   170    6    76.1372  -47.7449  2.9871  7.0417
  171   171    4    81.3158  -62.1280  2.9585  7.0417
  172   172    5    78.7410  -54.9342  2.9728  7.0417
  173   173    6    82.1028  -48.0666  2.9871  7.0417
  174   174    5    81.7093  -55.0973  2.9728  7.0417
  175   175    5    84.6773  -55.2664  2.9728  7.0417
  176   176    4    84.2695  -62.2963  2.9585  7.0417
  177   177    4    87.2228  -62.4706  2.9585  7.0417
  178   178    6    85.0850  -48.2366  2.9871  7.0417
  179   179    6    88.0670  -48.4126  2.9871  7.0417
  180   180    5    87.6449  -55.4416  2.9728  7.0417
  181   181    7    76.5021  -40.7127  3.0014  7.0417
  182   182    7    73.5046  -40.5602  3.0014  7.0417
  183   183    7    82.4963  -41.0360  3.0014  7.0417
  184   184    7    79.4994  -40.8713  3.0014  7.0417
  185   185    7    88.4890  -41.3836  3.0014  7.0417
  186   186    7    85.4928  -41.2067  3.0014  7.0417
  187   187    8    76.8670  -33.6805  3.0157  7.0417
  188   188    8    73.8552  -33.5273  3.0157  7.0417
