#                                          
# MAP for Data Channel to Layout (Row,Col) 
#                                          
# Convention:                              
#    - Looking at the Pad Surface          
#    - Lower-Left corner is (0,0)          
#                                          
# Create by Yun-Ha using David's Map       
#                                          
# NOTE:                                    
#  pad at 20,65 is for HV
#  pad at 20,64 is for HV
#                             
#  72, 73 are added manually to give location anyway
#             
#-------------------------------           
# PhysChan  FEC  ASIC  Row  Col            
#-------------------------------           
        0    0     0   12   67
        1    0     0   12   66
        2    0     0   12   69
        3    0     0   12   68
        4    0     0   12   71
        5    0     0   12   70
        6    0     0   13   67
        7    0     0   13   66
        8    0     0   13   69
        9    0     0   13   68
       10    0     0   13   71
       11    0     0   13   70
       12    0     0   14   67
       13    0     0   14   66
       14    0     0   14   69
       15    0     0   14   68
       16    0     0   14   71
       17    0     0   14   70
       18    0     0   15   67
       19    0     0   15   66
       20    0     0   15   69
       21    0     0   15   68
       22    0     0   15   71
       23    0     0   15   70
       24    0     0   16   67
       25    0     0   16   66
       26    0     0   16   69
       27    0     0   16   68
       28    0     0   16   71
       29    0     0   16   70
       30    0     0   17   67
       31    0     0   17   66
       32    0     0   17   69
       33    0     0   17   68
       34    0     0   17   71
       35    0     0   17   70
       36    0     0   18   70
       37    0     0   18   71
       38    0     0   18   68
       39    0     0   18   69
       40    0     0   18   66
       41    0     0   18   67
       42    0     0   19   70
       43    0     0   19   71
       44    0     0   19   68
       45    0     0   19   69
       46    0     0   19   66
       47    0     0   19   67
       48    0     0   20   70
       49    0     0   20   71
       50    0     0   20   68
       51    0     0   20   69
       52    0     0   20   66
       53    0     0   20   67
       54    0     0   21   70
       55    0     0   21   71
       56    0     0   21   68
       57    0     0   21   69
       58    0     0   21   66
       59    0     0   21   67
       60    0     0   22   70
       61    0     0   22   71
       62    0     0   22   68
       63    0     0   22   69
       64    0     0   22   66
       65    0     0   22   67
       66    0     0   23   70
       67    0     0   23   71
       68    0     0   23   68
       69    0     0   23   69
       70    0     0   23   66
       71    0     0   23   67
       72   -1    -1   20   64
       73   -1    -1   20   65
       74    0     1   12   60
       75    0     1   12   61
       76    0     1   12   62
       77    0     1   12   63
       78    0     1   12   64
       79    0     1   12   65
       80    0     1   13   60
       81    0     1   13   61
       82    0     1   13   62
       83    0     1   13   63
       84    0     1   14   60
       85    0     1   13   64
       86    0     1   13   65
       87    0     1   14   61
       88    0     1   14   62
       89    0     1   14   63
       90    0     1   14   64
       91    0     1   15   60
       92    0     1   14   65
       93    0     1   15   61
       94    0     1   15   62
       95    0     1   15   63
       96    0     1   15   64
       97    0     1   15   65
       98    0     1   16   60
       99    0     1   16   61
      100    0     1   16   62
      101    0     1   16   63
      102    0     1   16   64
      103    0     1   16   65
      104    0     1   17   63
      105    0     1   17   62
      106    0     1   17   61
      107    0     1   17   60
      108    0     1   17   64
      109    0     1   17   65
      110    0     1   18   63
      111    0     1   18   62
      112    0     1   18   61
      113    0     1   18   60
      114    0     1   18   64
      115    0     1   18   65
      116    0     1   19   63
      117    0     1   19   62
      118    0     1   19   61
      119    0     1   19   60
      120    0     1   19   64
      121    0     1   19   65
      122    0     1   20   63
      123    0     1   20   62
      124    0     1   20   61
      125    0     1   20   60
      126    0     1   21   65
      127    0     1   21   64
      128    0     1   21   63
      129    0     1   21   62
      130    0     1   21   61
      131    0     1   21   60
      132    0     1   22   65
      133    0     1   22   64
      134    0     1   22   63
      135    0     1   22   62
      136    0     1   22   61
      137    0     1   22   60
      138    0     1   23   60
      139    0     1   23   61
      140    0     1   23   62
      141    0     1   23   63
      142    0     1   23   64
      143    0     1   23   65
      144    0     2    0   65
      145    0     2    1   65
      146    0     2    0   64
      147    0     2    1   64
      148    0     2    0   63
      149    0     2    1   63
      150    0     2    0   62
      151    0     2    1   62
      152    0     2    0   61
      153    0     2    1   61
      154    0     2    0   60
      155    0     2    1   60
      156    0     2    2   61
      157    0     2    2   60
      158    0     2    3   60
      159    0     2    2   62
      160    0     2    4   61
      161    0     2    4   60
      162    0     2    2   64
      163    0     2    2   63
      164    0     2    3   61
      165    0     2    2   65
      166    0     2    5   60
      167    0     2    3   62
      168    0     2    5   62
      169    0     2    5   61
      170    0     2    3   63
      171    0     2    4   62
      172    0     2    5   63
      173    0     2    4   63
      174    0     2    4   64
      175    0     2    3   64
      176    0     2    3   65
      177    0     2    5   64
      178    0     2    5   65
      179    0     2    4   65
      180    0     2    6   61
      181    0     2    6   60
      182    0     2    6   63
      183    0     2    6   62
      184    0     2    6   65
      185    0     2    6   64
      186    0     2    7   61
      187    0     2    7   60
      188    0     2    7   63
      189    0     2    7   62
      190    0     2    7   65
      191    0     2    7   64
      192    0     2    8   64
      193    0     2    8   65
      194    0     2    8   62
      195    0     2    8   63
      196    0     2    8   60
      197    0     2    8   61
      198    0     2    9   64
      199    0     2    9   65
      200    0     2    9   62
      201    0     2    9   63
      202    0     2    9   60
      203    0     2    9   61
      204    0     2   10   64
      205    0     2   10   65
      206    0     2   10   62
      207    0     2   10   63
      208    0     2   10   60
      209    0     2   10   61
      210    0     2   11   60
      211    0     2   11   61
      212    0     2   11   62
