--------------------------------------			
Mapping	one		
03/14/2010			
			
			
--------------------------------------			
"#ASIC	#row	#column #pad"			
--------------------------------------			
0	23	71	33
0	22	71	30
0	21	71	27
0	20	71	24
0	19	71	21
0	18	71	18
0	17	71	15
0	16	71	12
0	15	71	9
0	14	71	6
0	13	71	3
0	12	71	0
2	11	71	33
2	10	71	30
2	9	71	27
2	8	71	24
2	7	71	21
2	6	71	18
2	5	71	15
2	4	71	12
2	3	71	9
2	2	71	6
2	1	71	3
2	0	71	0
1	23	70	33
1	22	70	30
1	21	70	27
1	20	70	24
1	19	70	21
1	18	70	18
1	17	70	15
1	16	70	12
1	15	70	9
1	14	70	6
1	13	70	3
1	12	70	0
3	11	70	33
3	10	70	30
3	9	70	27
3	8	70	24
3	7	70	21
3	6	70	18
3	5	70	15
3	4	70	12
3	3	70	9
3	2	70	6
3	1	70	3
3	0	70	0
0	23	69	34
0	22	69	31
0	21	69	28
0	20	69	25
0	19	69	22
0	18	69	19
0	17	69	16
0	16	69	13
0	15	69	10
0	14	69	7
0	13	69	4
0	12	69	1
2	11	69	34
2	10	69	31
2	9	69	28
2	8	69	25
2	7	69	22
2	6	69	19
2	5	69	16
2	4	69	13
2	3	69	10
2	2	69	7
2	1	69	4
2	0	69	1
1	23	68	34
1	22	68	31
1	21	68	28
1	20	68	25
1	19	68	22
1	18	68	19
1	17	68	16
1	16	68	13
1	15	68	10
1	14	68	7
1	13	68	4
1	12	68	1
3	11	68	34
3	10	68	31
3	9	68	28
3	8	68	25
3	7	68	22
3	6	68	19
3	5	68	16
3	4	68	13
3	3	68	10
3	2	68	7
3	1	68	4
3	0	68	1
0	23	67	35
0	22	67	32
0	21	67	29
0	20	67	26
0	19	67	23
0	18	67	20
0	17	67	17
0	16	67	14
0	15	67	11
0	14	67	8
0	13	67	5
0	12	67	2
2	11	67	35
2	10	67	32
2	9	67	29
2	8	67	26
2	7	67	23
2	6	67	20
2	5	67	17
2	4	67	14
2	3	67	11
2	2	67	8
2	1	67	5
2	0	67	2
1	23	66	35
1	22	66	32
1	21	66	29
1	20	66	26
1	19	66	23
1	18	66	20
1	17	66	17
1	16	66	14
1	15	66	11
1	14	66	8
1	13	66	5
1	12	66	2
3	11	66	35
3	10	66	32
3	9	66	29
3	8	66	26
3	7	66	23
3	6	66	20
3	5	66	17
3	4	66	14
3	3	66	11
3	2	66	8
3	1	66	5
3	0	66	2
0	23	65	36
0	22	65	39
0	21	65	42
0	20	65	45
0	19	65	48
0	18	65	51
0	17	65	54
0	16	65	57
0	15	65	60
0	14	65	63
0	13	65	66
0	12	65	69
2	11	65	36
2	10	65	39
2	9	65	42
2	8	65	45
2	7	65	48
2	6	65	51
2	5	65	54
2	4	65	57
2	3	65	60
2	2	65	63
2	1	65	66
2	0	65	69
1	23	64	36
1	22	64	39
1	21	64	42
1	20	64	45
1	19	64	48
1	18	64	51
1	17	64	54
1	16	64	57
1	15	64	60
1	14	64	63
1	13	64	66
1	12	64	69
3	11	64	36
3	10	64	39
3	9	64	42
3	8	64	45
3	7	64	48
3	6	64	51
3	5	64	54
3	4	64	57
3	3	64	60
3	2	64	63
3	1	64	66
3	0	64	69
0	23	63	37
0	22	63	40
0	21	63	43
0	20	63	46
0	19	63	49
0	18	63	52
0	17	63	55
0	16	63	58
0	15	63	61
0	14	63	64
0	13	63	67
0	12	63	70
2	11	63	37
2	10	63	40
2	9	63	43
2	8	63	46
2	7	63	49
2	6	63	52
2	5	63	55
2	4	63	58
2	3	63	61
2	2	63	64
2	1	63	67
2	0	63	70
1	23	62	37
1	22	62	40
1	21	62	43
1	20	62	46
1	19	62	49
1	18	62	52
1	17	62	55
1	16	62	58
1	15	62	61
1	14	62	64
1	13	62	67
1	12	62	70
3	11	62	37
3	10	62	40
3	9	62	43
3	8	62	46
3	7	62	49
3	6	62	52
3	5	62	55
3	4	62	58
3	3	62	61
3	2	62	64
3	1	62	67
3	0	62	70
0	23	61	38
0	22	61	41
0	21	61	44
0	20	61	47
0	19	61	50
0	18	61	53
0	17	61	56
0	16	61	59
0	15	61	62
0	14	61	65
0	13	61	68
0	12	61	71
2	11	61	38
2	10	61	41
2	9	61	44
2	8	61	47
2	7	61	50
2	6	61	53
2	5	61	56
2	4	61	59
2	3	61	62
2	2	61	65
2	1	61	68
2	0	61	71
1	23	60	38
1	22	60	41
1	21	60	44
1	20	60	47
1	19	60	50
1	18	60	53
1	17	60	56
1	16	60	59
1	15	60	62
1	14	60	65
1	13	60	68
1	12	60	71
3	11	60	38
3	10	60	41
3	9	60	44
3	8	60	47
3	7	60	50
3	6	60	53
3	5	60	56
3	4	60	59
3	3	60	62
3	2	60	65
3	1	60	68
3	0	60	71
0	23	59	33
0	22	59	30
0	21	59	27
0	20	59	24
0	19	59	21
0	18	59	18
0	17	59	15
0	16	59	12
0	15	59	9
0	14	59	6
0	13	59	3
0	12	59	0
2	11	59	33
2	10	59	30
2	9	59	27
2	8	59	24
2	7	59	21
2	6	59	18
2	5	59	15
2	4	59	12
2	3	59	9
2	2	59	6
2	1	59	3
2	0	59	0
1	23	58	33
1	22	58	30
1	21	58	27
1	20	58	24
1	19	58	21
1	18	58	18
1	17	58	15
1	16	58	12
1	15	58	9
1	14	58	6
1	13	58	3
1	12	58	0
3	11	58	33
3	10	58	30
3	9	58	27
3	8	58	24
3	7	58	21
3	6	58	18
3	5	58	15
3	4	58	12
3	3	58	9
3	2	58	6
3	1	58	3
3	0	58	0
0	23	57	34
0	22	57	31
0	21	57	28
0	20	57	25
0	19	57	22
0	18	57	19
0	17	57	16
0	16	57	13
0	15	57	10
0	14	57	7
0	13	57	4
0	12	57	1
2	11	57	34
2	10	57	31
2	9	57	28
2	8	57	25
2	7	57	22
2	6	57	19
2	5	57	16
2	4	57	13
2	3	57	10
2	2	57	7
2	1	57	4
2	0	57	1
1	23	56	34
1	22	56	31
1	21	56	28
1	20	56	25
1	19	56	22
1	18	56	19
1	17	56	16
1	16	56	13
1	15	56	10
1	14	56	7
1	13	56	4
1	12	56	1
3	11	56	34
3	10	56	31
3	9	56	28
3	8	56	25
3	7	56	22
3	6	56	19
3	5	56	16
3	4	56	13
3	3	56	10
3	2	56	7
3	1	56	4
3	0	56	1
0	23	55	35
0	22	55	32
0	21	55	29
0	20	55	26
0	19	55	23
0	18	55	20
0	17	55	17
0	16	55	14
0	15	55	11
0	14	55	8
0	13	55	5
0	12	55	2
2	11	55	35
2	10	55	32
2	9	55	29
2	8	55	26
2	7	55	23
2	6	55	20
2	5	55	17
2	4	55	14
2	3	55	11
2	2	55	8
2	1	55	5
2	0	55	2
1	23	54	35
1	22	54	32
1	21	54	29
1	20	54	26
1	19	54	23
1	18	54	20
1	17	54	17
1	16	54	14
1	15	54	11
1	14	54	8
1	13	54	5
1	12	54	2
3	11	54	35
3	10	54	32
3	9	54	29
3	8	54	26
3	7	54	23
3	6	54	20
3	5	54	17
3	4	54	14
3	3	54	11
3	2	54	8
3	1	54	5
3	0	54	2
0	23	53	36
0	22	53	39
0	21	53	42
0	20	53	45
0	19	53	48
0	18	53	51
0	17	53	54
0	16	53	57
0	15	53	60
0	14	53	63
0	13	53	66
0	12	53	69
2	11	53	36
2	10	53	39
2	9	53	42
2	8	53	45
2	7	53	48
2	6	53	51
2	5	53	54
2	4	53	57
2	3	53	60
2	2	53	63
2	1	53	66
2	0	53	69
1	23	52	36
1	22	52	39
1	21	52	42
1	20	52	45
1	19	52	48
1	18	52	51
1	17	52	54
1	16	52	57
1	15	52	60
1	14	52	63
1	13	52	66
1	12	52	69
3	11	52	36
3	10	52	39
3	9	52	42
3	8	52	45
3	7	52	48
3	6	52	51
3	5	52	54
3	4	52	57
3	3	52	60
3	2	52	63
3	1	52	66
3	0	52	69
0	23	51	37
0	22	51	40
0	21	51	43
0	20	51	46
0	19	51	49
0	18	51	52
0	17	51	55
0	16	51	58
0	15	51	61
0	14	51	64
0	13	51	67
0	12	51	70
2	11	51	37
2	10	51	40
2	9	51	43
2	8	51	46
2	7	51	49
2	6	51	52
2	5	51	55
2	4	51	58
2	3	51	61
2	2	51	64
2	1	51	67
2	0	51	70
1	23	50	37
1	22	50	40
1	21	50	43
1	20	50	46
1	19	50	49
1	18	50	52
1	17	50	55
1	16	50	58
1	15	50	61
1	14	50	64
1	13	50	67
1	12	50	70
3	11	50	37
3	10	50	40
3	9	50	43
3	8	50	46
3	7	50	49
3	6	50	52
3	5	50	55
3	4	50	58
3	3	50	61
3	2	50	64
3	1	50	67
3	0	50	70
0	23	49	38
0	22	49	41
0	21	49	44
0	20	49	47
0	19	49	50
0	18	49	53
0	17	49	56
0	16	49	59
0	15	49	62
0	14	49	65
0	13	49	68
0	12	49	71
2	11	49	38
2	10	49	41
2	9	49	44
2	8	49	47
2	7	49	50
2	6	49	53
2	5	49	56
2	4	49	59
2	3	49	62
2	2	49	65
2	1	49	68
2	0	49	71
1	23	48	38
1	22	48	41
1	21	48	44
1	20	48	47
1	19	48	50
1	18	48	53
1	17	48	56
1	16	48	59
1	15	48	62
1	14	48	65
1	13	48	68
1	12	48	71
3	11	48	38
3	10	48	41
3	9	48	44
3	8	48	47
3	7	48	50
3	6	48	53
3	5	48	56
3	4	48	59
3	3	48	62
3	2	48	65
3	1	48	68
3	0	48	71
0	23	47	33
0	22	47	30
